### Energy [MeV],Low dEdx [MeV*cm2/g],High dEdx [MeV*cm2/g]
0.327,27.0456,71.8544
0.328,27.0456,71.7682
0.329,27.0456,71.6817
0.33,27.0456,71.5946
0.331,27.0456,71.5072
0.332,27.0456,71.4195
0.333,27.0456,71.3313
0.334,27.0456,71.2428
0.335,27.0456,71.154
0.336,27.0456,71.0648
0.337,27.0456,70.9754
0.338,27.0456,70.8856
0.339,27.0456,70.7955
0.34,27.0456,70.7052
0.341,27.0456,70.6146
0.342,27.0456,70.5238
0.343,27.0456,70.4327
0.344,27.0456,70.3407
0.345,27.0456,70.2475
0.346,27.0456,70.1542
0.347,27.0456,70.0607
0.348,27.0456,69.9669
0.349,27.0456,69.8731
0.35,27.0456,69.7787
0.351,27.0456,69.6779
0.352,27.0456,69.5772
0.353,27.0456,69.4764
0.354,27.0456,69.3757
0.355,27.0456,69.2749
0.356,27.0456,69.1741
0.357,27.0456,69.0734
0.358,27.0456,68.9726
0.359,27.0456,68.8719
0.36,27.0456,68.7712
0.361,27.0456,68.6705
0.362,27.0456,68.5699
0.363,27.0456,68.4693
0.364,27.0456,68.3724
0.365,27.0456,68.2891
0.366,27.0456,68.2058
0.367,27.0456,68.1225
0.368,27.0456,68.0391
0.369,27.0456,67.9557
0.37,27.0456,67.8722
0.371,27.0456,67.7888
0.372,27.0456,67.7053
0.373,27.0456,67.6219
0.374,27.0456,67.5384
0.375,27.0456,67.455
0.376,27.0456,67.3741
0.377,27.0456,67.2947
0.378,27.0456,67.2152
0.379,27.0456,67.1357
0.38,27.0456,67.0562
0.381,27.0456,66.9767
0.382,27.0456,66.8972
0.383,27.0456,66.8177
0.384,27.0456,66.7383
0.385,27.0456,66.6589
0.386,27.0456,66.5795
0.387,27.0456,66.5001
0.388,27.0456,66.4208
0.389,27.0456,66.3415
0.39,27.0456,66.2622
0.391,27.0456,66.183
0.392,27.0456,66.1038
0.393,27.0456,66.0247
0.394,27.0456,65.9456
0.395,27.0456,65.8666
0.396,27.0456,65.7876
0.397,27.0456,65.7087
0.398,27.0456,65.6298
0.399,27.0456,65.551
0.4,27.0456,65.4723
0.401,27.0456,65.3936
0.402,27.0456,65.3151
0.403,27.0456,65.2365
0.404,27.0456,65.1581
0.405,27.0456,65.0782
0.406,27.0456,64.9992
0.407,27.0456,64.9299
0.408,27.0456,64.8605
0.409,27.0456,64.791
0.41,27.0456,64.7214
0.411,27.0456,64.6518
0.412,27.0456,64.5821
0.413,27.0456,64.5124
0.414,27.0456,64.4426
0.415,27.0456,64.3728
0.416,27.0456,64.3029
0.417,27.0456,64.233
0.418,27.0456,64.163
0.419,27.0456,64.093
0.42,27.0456,64.0229
